Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
busubulliya,noun,"empty place, bare place (of a road)%","Buta sohuwan eqqida 
panggati bantta soo simmiya asaa bonqqana kajjeelidosona.","Vandals standing on 
the bare place tried to loot the belongings of the people who were returning to 
their home.%(syn) [baysa, butaa, asi baynnasaa.]"
buuraa,noun,garbage; rubbish; dirt; litter; trash; compost; debris%,"Hagaa 
buuraa aggaagoppa; pittaychcha.","Don't leave this litter; clean it up.%(syn) 
[pituwa, qitaa, xorkkuwa, xelequwa, hanchchaa, axumaa, miiriqaa.]"
buuxaa,noun,"hay, dry grass (from thatched hut)%",Xuman buuxaa xomppiis.,"He lit the dry grass in the dark.%(syn) [saxaa.]
caana wodoruwa%1. noun%"
buuxaa,noun,"cinch, lace, strap (of leather for fastening a load) %",I caana wodoruwa hariya caananawu shammiis.,"He bought a strap for loading the 
donkey. %(syn) [xafiraa , dafuwa]"
caanaa,noun,load; burden %,Haree caanay deexxin kunddiis.,"The donkey 
fell when the load was too heavy to carry. %(syn) [toohuwa]"
caccafuwa,noun,sprinkle; spray %,Caccafuwa giyogee gukkiyabaa araciyogaa.,"A sprinkle is a scattering of small drops of liquid. %(syn) [kakkafuwa, 
puukettaa]"
cadaa,noun,"smart, sting, sharp pain %",Ta aayyiyoo zokkuwan caday sakkees.,"My mother has a sharp pain in her back. %(syn) [xossaa, zeelumettaa, 
biz""ettaa, pinccaamettaa, ziimettaa]"
cashaa,noun,renunciation %,A wuussaa cashaa,"the renunciation of his 
theft %(syn) [magaraa, laguwa, xiinettaa, qanggettaa, massammaa, goomettaa, 
magaraa, laguwa]"
cashshaa,noun,"insult, offensive language%",Cashshi yiilloyiyabaa.,"An 
insult is offensive. %(syn) [gùùtuwa, biittan gelissuwa, gatiya qaaruwa, 
goyrettaa]"
cimmiya,adjective,"deceptive; deceitful; mischievous; cheating; dishonest; 
fraudulent; untrustworthy; tricky; devious %",cimmiya qofaa,"deceptive idea %
(syn) [cimo, ishshoyiyo, balettiya]"
combbiina,adjective,"long talk, long and monotonous talking %","Combbiina 
haasayay sohuwara salettees.","A long talk quickly becomes boring.%(syn) 
[corbbiina, corddodiina, shododda, golddodiina, shohiina]"
cubiya,noun,dagger %,Cubiya shooho giddon gelissa.,"Put the dagger in its
sheath. %(syn) [senxxiya]
cuchchay melennaan%1. adverb%"
cubiya,noun,in a hurry %,I cuchchay melennan gakkiis.,"He 
arrived in a hurry. %(syn) [ho""uwara, sohuwara, eesuwan, man''iyara, kuttoy 
haattaa mittanawu, kitikituwan, dirbban]"
cuguwa,noun,"stick, a stick usually used to throw at birds, dogs, etc. %",Kafuwa bolli cuguwa cuguddoppite.,"Don't throw a stick at the birds. %(syn) 
[gaalluwa, dullaa, koxiya, bikkaa, xarbbaa, duttaa]"
cunccalliya,noun,black ant %,Zuummiyana'aa cunccallee saxxiis.,"The black
ant bit the crawling baby. %(syn) [tushiya]"
daachchuwa,noun,knife case (made from bamboo)%,"Mashshaanne baacaa 
daachchuwan wottays.","keep sickles and knives in the knife case.%(syn) 
[diyyiya]"
daarettaa,noun,"growl, animal's hostile throaty noise (for dogs) %",kanaa,
daarinchchaa,noun,backyard; garden %,daarinchchan mokkiyabata,"vegetables
in the backyard %(syn) [emeriya, darkkuwa, shaafinchchaa]"
daasiya,noun,shelter; camp; lodge; shack; booth %,"Tamaa daafan daro 
daaseti xuugettidosona.","Many shacks were burned down in the fire. %(syn) 
[zamppaa]"
gattiyagaa,noun,postman%,"Dabiddaabbiya gattiyagee hanno 
gakkanaassi nu soo dabiddaabbe ehidee?","Has the postman brought any letters to 
our home yet?%(syn) [postta oosanchchaa, dabiddaabbiya ehiyagaa]"
daddahaa,noun,"thatching, roofing (huts) %","Aattiya keettawu daddahaa 
koshshees.","A leaking roof needs thatching.%(syn) [kamuwa, siqettaa]"
dafuwa,noun,"leather strap, hide (for tying donkey) %","Dafoy hariya 
qachchanawu maaddees.","A leather strap is used to tie a donkey. %(syn) caana 
wodoruwa, xafiraa"
dagamaa,noun,alarm; terror; horror; shock; panic %,"Na'iya dagaman 
kokkorawusu.",The girl is trembling in shock. %(syn) [jollu guussaa]
dalaashaa,adjective,"curved horn, a cow with horns turned down and inactive 
for goring%",dalaasha booraa,"an ox with inactive goring horn %(syn) 
[quluuliya]"
dalbba,adjective,fat; thick; chubby; obese; flabby %,A dalbba macaassa.,"She is a fat woman. %(syn) [wogga, gita, xawulle, bambballooma, gagate, gagisa, 
maagula, axxo, axuma, zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, 
xawudala, manne, geere, xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, 
yam''araara, axuure]"
dalgga,adjective,wide %,A dalgga biittay goshshawu injjettees.,"His wide 
land is suitable for farming. %(syn) [sawulla, gaareppa, gaga, yadaawa, sassa, 
aaho]"
dallamma,adjective,"bland; tasteless %(syn) [dachchiis, mal''enna, doda, 
made]%",,
dallamma,adjective,"foolish; silly; dull; unintelligent; imprudent; thoughtless; irrational;
stupid; rash; reckless %(syn) [sholociina, goshooppolo, golccocca, eeyya, wozani
baynna, damma, gonkka, hariitte, yooqolo, zamuqa]",,
dallayaa,noun,"blockage, a fence to deter animals from going inside%",Bitanee mehee qooruwan gelenna mala dallayaa yeggiis.,"The man made a fence to 
deter animals from going inside the field. %(syn) [zabaayiya]"
dambbaynnaa,noun,client; customer %,,
dambbaynnaa,noun,subscriber %,"'Addis Zemeniya 
Gaazeexaa' dambbaynnaa",a subscriber to 'Addis Zemen Newspaper'
danaqa,adjective,easy; comfortable; abundant; plentiful; luxurious %,"Dure 
asaassi sa'ay danaqa.","For a rich person, life is easy. %(syn) [hira, injje, 
ishalo, baalo, munaasa, ushachcha, worqqa, canna, irkko, sarqqa, banqqa, oyssa, 
tonoqa]"
danddayettenna,adjective,impossible %,"Issi galla 300 gaameelaa caaniyogee 
danddayettenna ooso.","Loading 300 camels in one day is an impossible task. %
(syn) [hanenna]"
danddiya,noun,pajamas %,"Nu muletoo qammi hiittan zin""iidi danddiya 
maayoos.",We always wear a pair of pajamas to bed. %(syn) [bijaamaa]
daraphaa,noun,pulpit; podium %,"○ Daraphay woosa keettan haggaaziyagee 
kiyidi haggaaziyo xekkaa.%",
dedduwa,noun,stammerer; stutterer%,,
dedduwa,noun,stutter; stammer %,"Taayyoo na'atettan 
wayssiya deddoy dees.","I had a terrible stutter when I was a kid.
dee''iis%1. intransitive verb%"
dedduwa,noun,fester %,Masunttay dee''iis.,"The wound 
festered. %(syn) [qulppiis, tolshshiis, masunxxiis, gambbaxiis]"
deeshshaa,noun,goat %,Deeshshay bonccuwa mees.,"Goats eat leaves. %(syn) 
[korbbeesaa]"
degeeraa,noun,"bee-like insect (which often produces its honey in the 
ground) %",Asay degeeraa eessay qufiyayyo xale gees.,"'Degera' honey is used as
a medicine for coughing. %"
degeeraa,noun,honey (from ground),,
demiya,noun,python %,Demee ba worido do'aa mittees.,"A python swallows 
its kill. %(syn) [dawiya]
demmaa dereqqaa%1. pronoun%"
demiya,noun,"anybody, everybody, everyone (negative connotation)
%","I demmaa dereqqaara, bana naagennan, gooyiya asadan coo haasayees.","He spoke
with everyone, without restricting himself, just like a crazy man. %(syn) [yelaa
yeli kessaa, in""aayo bun""aayo, senqqere bariiso, demmaa hammaa, danggo daachcho]"
dere,adjective,"many, much, a lot of, a great deal of, numerous, plentiful, 
abundant, innumerable, large amount of things %",I dere miishshaa xayssiis.,"He
lost a large amount of money. %(syn) [cora, zawi baynna, shaynna, kenchcho, 
guyte, qoodi baynna, qoodi wurssenna, uulla, daro, besa, guufe, likkee baynna, 
dibe, innaaboote, uma, guuxxana geenna, kotte]"
diinaa,noun,opponent; adversary; foe; enemy%,Nuuni lagge gidokko. Diina,"We are not friends. We are enemies.%(syn) [baarigaaraa, eqettiyagaa, morkkiya, 
badama, ixuwa.]"
diran,adverb,in a place%,issi diran,"in one place%(syn) [sohuwan.]
dirbba (dirbbiya)%1. adjective%"
diran,adverb,quick; fast; hasty; hurry; restless; busy%,dirbba oosuwa,"hasty work%(syn) [dirbbiya, tamaa eexxiya, boge, eeso, 
kiirimmiya, kitikitiya, jiirijiira, kuyrikuyra, biixibiixa, biiribiira, 
hatattaama, bol""o.]"
dirbban,adverb,"quickly, in a hurry%",I shagaxaa dirbban shammiis.,"He 
purchased the goods in a hurry.%(syn) [kitikituwan; ho""uwara, sohuwara, eesuwan,
man''iyara, kuttoy haattaa mittanawu, cuchchay melennaan, kitikituwan.]"
diyosaa,noun,"address, residence, settlement, dwelling place%","Posttaa 
kiittida izaaway bari diyosaa posttaa bolli qonccissidi xaafibeenna.","The 
sender of the letter did not write the address on it.%(syn) [duussa man''iya.]"
dontta,adjective,ruined; crumbling; invalid; destroyable; destructible%,Dontta gimbbee kunddidi cora asaa woriis.,"The crumbling building collapsed and
killed many people.%(syn) [xayso, bashsha, mogola.]"
sohuwa,noun,polling station%,"Dooruwa sohuwa wodiyara biyogee daro 
lo''o.","It is best to go to the polling station on time.%(syn) [dooruwa 
man''iya.]"
dooya,adjective,opened%,Dooya diya karee biinniya gelissiiddi dees.,"The 
opened door is letting in mosquitoes.%(syn) [poga.]
dorssossiis (xorssossiis)%1. intransitive verb%"
dooya,adjective,"become confused, become",,
doyna,adjective,blunt; dull%,Mashshay doyna; maara qanxxenna.,"The knife 
is dull; it does not cut well.%(syn) [tuna, doldda, musha, lumma, goloodo, 
ducana.]"
dozaa,noun,plant%,Biittay dozati mokkiyo soho.,"Soil is where plants 
grow.%(syn) [mokkiyabaa.]
dozhggu giis (duzhggu giis)%1. intransitive verb%"
dozaa,noun,"quail, be afraid, be 
terrified, be shocked, be startled, be alarmed, be frightened%","Hassayennan 
diishin shooshshay maataa giddoppe kiyin na'ay dozhggu giis.","When the snake 
came out of the grass unexpectedly, the boy was frightened.%(syn) [dagammiis, 
horppattiis, yayyiis, babbiis, yuuqiyuuqiis, bobariis, waabbaqiis, bizhggamiis, 
yarkkiis, hoppihoppiis, qasiis, batibatiis, hodhdhihodhdhiis, qiphiqiphiis, 
barggaagiis.]"
duge,adverb,down; downwards%,I ogiya dugettaa biis.,"He went down the 
road.%(syn) [tohossaa, xade.]
dun''a%1. adjective%"
duge,adverb,"blunt, inactive, not working well%",dun''a baacaa,blunt
duuchcha,adjective,virgin; untouched%,duuchcha biittaa,"virgin land%(syn)
[siise.]"
duuxa,adjective,cut; damaged; maimed; amputated%,duuxa bradhdhiya,"the 
cut finger%(syn) [kinddiichcho, qantta, dinkke, kuraachcho, durcca, chiro, 
duddumushe.]"
edaa,noun,restitution; compensation; punishment %,"Ne moorido mooruwassi 
edaa qanxxanawu bessaasa.","You should pay a compensation for your wrong doings.
%(syn) [afilaamaa]"
eeduwa,noun,melody %,,
eeduwa,noun,"rhythm, pattern of beats in music %","Wolayttatto 
yettan hosppun qommo eedoy de'ees.","In Wolaita music there are eight rhythms.
eeji'eeja%1. adjective%"
eeduwa,noun,flighty; fickle; inconsistent %,"Ha na'eessi diya 
eeji'eeja eeshshay wayssees.","This girl's inconsistent behavior troubled us. %
(syn) [tayliwatta, qayliqayla, qanjjiqanjja]
eellida haattaa%1. noun%"
eeduwa,noun,"pond, collected water without flowing %","Eellida 
haattaa diridi naagana koshshees.","The pond should be fenced. %(syn) 
[denggeliya]"
eexxiya,adjective,"alight, powerfully burning, lit %","Eexxiya xomppiya 
toyssa.","Blow out the lit torch. %(syn) [tololattiya, pol''attiya, poo'o, 
mijjrssa, pozhzhiina]"
erennan,adverb,unknowingly %,I erennan wogaa menttiis.,"He has 
unknowingly broken the rules. %(syn) [qoppennan, akeekennan, naagennan]"
erettaa,noun,"gruel, baby's gruel, baby food, porridge made by boiling meal,
especially oatmeal, in water and butter %",kaacaassi go'ettiyo maldduwa erettaa,"spiced gruel for a woman when she gives birth to a child %(syn) [muullaa]
ettay teeriis%1. intransitive verb%"
erettaa,noun,"be comfortable, be abundant %","Duretussi 
ettay teeriis.","Life is comfortable for the rich. %(syn) [ushachchiis, 
injjetiis, giigiis, hirattiis, banqqatiis, mankkatiis, tonoqiis]"
exaa,noun,"length, tallness (of animals and people) %",I exaa adussa.,"He 
is tall. %(syn) [geesaa]"
gaappo,adjective,misty; foggy; cloudy%,Hachchi sa'ay gaappo.,"Today is a 
misty day.%(syn) [kinchcho.]"
gaashuwa,noun,"house, a large Wolaita house built from grass%","Dure asay 
gaashuwa keexxees.","Wealthy men build large house.%(syn) [deelliya, zuufaa.]"
gabiya,noun,income; gain%,I aginan demmiyo gabee ayyoo gidenna.,"The 
income he gets per month is insufficient.%(syn) [geliya miishshaa.]"
gachchaama,adjective,giant; huge%,Danggarssay gachchaama do'a.,"Elephants
are huge animals.%(syn) [wogga, gita, xawulle, bambballooma, gagate, gagisa, 
maagula, axxo, axuma, dada, zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, 
xaane, xawudala, manne, geere, xekese, xoyllo, tennejja, yaakula, baa'ula, 
xettemere, yam''araara, axuure, xankkula, teebuxa, yambbulla, bobboxaama, 
bam''ula, ananoote, baadoochche, dawulla, ga'usha, abuulla, yambbareessa, 
anuuca, banne, moydore, tuqa, xul''eebba, ban''a, ordde, tonne, xambbalaqa, 
dalbba, sannaca, xaamoochche, xalbbuqa, naanno, wolqqaama, deexo.]"
gacino,adjective,newborn; infant%,gacino na'aa,the newborn baby%
gacino,adjective,"new 
mother, a woman who has given birth",,
gadaalla,adjective,"pale, dove-gray (animals' appearance)%","Gadaalla booray 
meraa lo""o malatenna.","A dove-gray ox does not look good.%(syn) [cenggeleela, 
cole.]"
gagate,adjective,big; great; huge; massive; large; tall; awesome%,gagate,
seetin,adverb,"clearly; indeed; certainly; openly; publicly; 
surely; definitely; undoubtedly%",He mishiriyo eray? Gallassay seetin ee erays.,"Do you know that woman? Indeed I do.%(syn) [qoncciyan, geeshshan.]"
galssaa,noun,"lamb, ram (adult)%","Keettaaway keettaayyiya yelin galssaa 
shukkiis.",The husband slaughtered the ram after his wife had given birth.%
galssaa,noun,"fattened sheep, fattened goat",,
galuwa,noun,calf (newborn)%,Galoy buraaqiis.,"The calf gamboled.%(syn) 
[maraa.]"
gambbaalliya,noun,socks%,"Gede kuwaasiya kaa'iyageeti gambbaalliya 
wottoosona.","Football players wear socks while playing football.%(syn) 
[kalssiya.]"
gannatiya,noun,"paradise, heaven, the place believed to be the home of God 
where believers go when they die%","Nuuni gannattiyan merinaa de'uwa demmanawu 
ammannoos.","We believe in order to live forever in heaven.%(syn) [saluwa 
kawotettaa, merinaa kawotettaa.]"
ganxxuwa,noun,sip; taste; drink%,ganxxo maattaa,"a sip of milk%(syn) 
[qaydettaa, gubbisuwa.]"
garanttiya,adjective,amazing; marvelous; miraculous%,garanttiya odowa,amazing news%(syn) [maalaaliya.]
garchchiya,adjective,"disobedient; rebellious; defiant; resistant; 
fractious; quarrelsome; opposing; violent; moody; furious; bad-tempered;",,
garttiya,noun,loaning; lending; borrowing%,"Garttee issibaa go""etidi 
zaaranaassi asawu immiyobaa woykko asappe ekkiyobaa.","Loaning is giving 
something to somebody or taking something from somebody with the condition that 
it will be returned later after using it.%(syn) [tal''iya.]"
garuwa,noun,palace%,Kawoy garuwan de'ees.,"The king lives in a palace.%
(syn) [zabbaa.]"
gatiya,noun,price; cost; value%,Ha caammaa gatee/waagay woysee?,"What is 
the price of those shoes?%(syn) [waagaa, allaalliya.]"
gattiyagaa,noun,connector%,,
gattiyagaa,noun,conjunction (grammar)%,,
gattiyagaa,noun,"distributor; provider; 
server; steward%(syn) [yeziyagaa, gishiyagaa, laaliyagaa.]",,
gaxi,adverb,edge; outside%,I booraa wudiyappe gaxi kessiis,"He took the 
ox outside of the herd.%(syn) [gaxa, karen.]"
gayca,adjective,cunning; shrewd%,Gayca asi elle cimettenna.,"A cunning 
person is not easily deceived.%(syn) [woyca.]"
gayruwa,noun,"eulogy, battle cry, war cry, bragging%",,
gayruwa,noun,slogan%,"Gayroy godaa 
bolla qalamiyan tiyettiis.","The slogans had been painted on the wall.
gaytotaa (gaytotettaa)%1. noun%"
gayruwa,noun,relationship; communication; connection;,,
gazza,adjective,spotted; mottled%,gazza irppaniya,the mottled skin of a
geedobaa,noun,"afterbirth, placenta, fetal membranes expelled from the womb 
after a birth%",Geedobay na'i yeletti simmin wodhdhees.,"The afterbirth comes 
after a mother gives birth to a baby.%(syn) [do'aa.]"
geemmidabaa,noun,mystery; secret%,ha layttan birshshettennan ixxidi,
geesaa,noun,"height, stature, the measurement of someone or something from 
foot to head or from base to top%",Wogga pitaliya ubbaa geesay issi mala.,Capital letters are all of the same height.%(syn) [exaa.]
geeshshatettaa,noun,hygiene; neatness%,"Ba geeshshatettaa naagiya uray ba 
heeraa geeshshatettaakka naagees.","He who maintains his own personal hygiene 
keeps his village clean.%"
geeshshatettaa,noun,sanctity; holiness; piety,,
geessuwa,noun,"habitat, a place where wild animals live (in)%","Woraa 
xaragiyogee go''iya daro do'ata geessuwappe baqatissees.","Burning the forests 
causes a lot of wild animals to flee from their habitat.%"
geessuwa,noun,fortification,,
geeyyenna,adjective,impure%,geeyyenna haattaa,"impure water%(syn) [urqqa,
qita, muuruqa, biitta, bunssuqa, sibba.]
gel''igel''a%1. adjective%"
geeyyenna,adjective,unsteady%,Mari yelettido wode tohoy gel''igel''a.,"When the calf was born, it had unsteady legs.%(syn) [qel""iqel""a.]
geliya miishshaa%1. noun%"
geeyyenna,adjective,income; revenue%,"Geliya miishshay daro gidiyo 
gishshawu oosanchchatussi damoozay gujettiis.","The workers got their salary 
increased because of a higher tax.%(syn) [gabiya.]"
geluwa,noun,entering%,,
geluwa,noun,marriage (of female)%,geluwa ekuwa,"entering 
marriage (husband or wife)"
genanchcha,adjective,"malicious; hateful; spiteful; malevolent; mean; nasty;
cruel; wicked; mischievous; evil%",genanchcha qofa,"malicious thought%(syn) 
[geella.]"
genccaa,noun,"endurance, ability to bear prolonged hardship%","Asa ubbawu 
issi mala gencci baawa.","All men are not equal in terms of endurance.%(syn) 
[danddayaa.]"
genttuwa,noun,hiding%,,
genttuwa,noun,"eclipse, the partial or complete hiding from view of
an astronomical object, e.g. the Sun or Moon, when another astronomical object 
comes between it and the observer%",awaa genttuwa,eclipse of the sun
gibiraa,noun,feast; banquet; party%,I imattata gibiraa shoobbiis.,"He 
invited the guests to the banquet.%(syn) [sifiraa, sooruwa, shoobiya.]"
gida,adjective,enough; satisfactory; sufficient; passable; adequate;,,
gidaa,noun,"abundance; sufficiency;adequacy; prosperity%(syn) [xee'uwa, 
aquwa, diyabaa, aqotaa, aquwa peeshshaa, haaruwa]%",,
gidaa,noun,wealth; estate; affluence;,,
giiraa,noun,tax; tribute%,"Layttan layttan ne habiittaassi woysu giiraa 
qanxxay?","How much tax do you pay per year for this plot of land?%(syn) 
[vaatiya]"
giishshaa,noun,pus; abscess%,I giishshay giiyana mala birxxottiis.,"He 
squeezed the sore to release the pus.%(syn) [mannaamiya]"
gimaamiya,noun,"muck, manure, dung (moist)%",Gimaamee gadiya araddissees.,"Cow's dung fertilizes the land.%(syn) [oshaa, wooruwa]"
giyaa,noun,market%,"Ha bitanee giyan katta ayfiya qori zal""ees.","This man 
deals in food grains in the market.%(syn) [qocaa]
go''iya%1. adjective%"
giyaa,noun,useful; important; beneficial; essential%,"Hagee go''iya 
qofa. Mintta oykka.","This is an important idea. Keep it up.%(syn) [payya, 
maaddiya, pattiya]"
godariya,noun,hyena %,Godaree saxxido kanay hayqqana hanees.,"The dog 
that the hyena bit is about to die.%(syn) [worbbaa, doyllaa]"
goloodo,adjective,"blunt, not sharp, unsharpened, dull, inactive%",goloodo,
gonggoluwa,noun,"cave, large underground hollow%",godare gonggoluwa,"the 
cave for hyenas%(syn) [koluwa]
goo''iis%1. intransitive verb%"
gonggoluwa,noun,"ulcerate, turn to ulcer%","Na'aayyoo suyliya 
bolli diya masunttay goo''iis.","The wound on the boy's leg ulcerated.%(syn) 
[gorxxiis]"
goodettaa,noun,'enset' bread%,goodetta unccaa,scraped 'enset' bread%
goodettaa,noun,scratch; scrape,,
goofariya,noun,"mane, long hair%","Gaammuwassi morggiyan mokkiya ikisee 
dishkkuwa/goofariya geetettees.","A mane is the long hair on the neck of a lion.
%"
goofariya,noun,Afro style (hair cut),,
goommaa,noun,tyre; tire%,xuuqqida goommaa,flat tire%
goommaa,noun,rubber sandal,,
goosheta,adjective,weak; lazy; sluggish; inactive; feeble; unfit; slow%,Gosheta asaara hemettiyogee wodiya hadasan wurssiyo gishshaw taani dosikke.,"I 
don't like taking a walk with a sluggish man because it is time consuming.%"
goosheta,adjective,sluggish; slow,,
gosiya,noun,calabash; gourd%,Parssoy gosiyan uyetettees.,"Local beer is 
drunk from a gourd.%(syn) [xibbuwa]"
gudettaa,noun,roaring%,Zino qammi gaammuwa gudettay siyettiis.,"The 
roaring of the lion was heard last night.%"
gudettaa,noun,vomiting,,
guraariya,noun,small gourd%(syn) [haluwa]%2. adjective%,,
guraariya,noun,"short, having 
little or relatively little height",,
gurjjumma,adjective,"strong, having the physical strength needed to exert 
considerable force (in lifting, pulling, or pushing something)%",gurjjumma asa,"a strong person%(syn) [mino, baaddiqeechchama, shuchcha]"
gurubaa,noun,"chaos; quarrel; fight; conflict; fracas; argument; dispute; 
debate; skirmish; strife; affray; riot; disturbance; unrest; commotion; trouble
%",Taani gurubaa siyada hanidabi aybakko be'anawu baas.,"I heard a commotion 
and went to see what had happened.%(syn) [ooshshaa, palamaa, cabbuwa, daysiya, 
wocamaa, karssikarssaa, walaqiya]"
gutara,adjective,political%,gutara ooso,political work%(syn) [polotika]
guttumaa,noun,"food, food that needs accompanying food item%","Buddeenay 
woxee xayikko, guttuma.","'Injera' without 'wot' is not delicious.%(syn) 
[massukkaa]"
gutuchchaa,noun,earring%,"Ta michchiya gutuchchaa aattanaassi hayttaa 
lukkaasu.",My sister pierced her ears to wear earrings.%(syn) [qinxxaabuwa]
guufe,adjective,much; many%,"Shagaxaa shammanaayyoo guufe miishshaa 
koshshees.","Much money is needed to buy goods.%(syn) [cora, zawi baynna, 
shaynna, kenchcho, dere, guyte, qoodi baynna, qoodi wurssenna, uulla, daro, 
besa, likkee baynna, dibe, innaaboote, uma, guuxxana geenna, kotte]"
guulluwa,noun,"clod, a lump of earth or clay %","Kanaa bolli oonee guulluwa 
oliday?","Who threw the clod at the dog?%(syn) [phakkiliya, phashaa, zebbaa]"
guussaa,noun,say; speech; utterance; rehearsal%,Tawu ta guussay dees.,"I 
have my own say.%(syn) [haasayaa, geettaa, xeessaa]
guutta giishin%1. adverb%"
guussaa,noun,at least %,"Qeeri naati guutta giishin heezzu 
dawutaraa tamaare keettaa ekkidi baanawu koshshees.","Little children should 
take at least three exercise books when they go to kindergarten.%(syn) [baawa 
giishin]"
gééshuwa,noun,"tapeworm, which is defecated from human bowels after taking",,
wodiyan,adverb,"nowadays, this time, these days, at the present time, in 
contrast with the past%","Ha wodiyan, daro yiirati televizhiiniya xeelliyogaa 
nabbabuwappe aatti dosoosona.","Nowadays, most kids prefer watching television 
to reading.%(syn) [hannoode]
ha''ikka%1. adverb%"
wodiyan,adverb,"still, until (in the sense of until)%","Gallassaa kumettaa 
hemettiiddi pee'idosona, shin ha''ikka biyosaa gakkibookkona.","They traveled 
the whole day, but they still did not arrive at the place.%"
wodiyan,adverb,now also,,
haaho,adjective,far; distant%,"Taanne ta laggee tamaare sooppe haaho 
sohuwan de'iyo gishshawu muletoo kaamiyan boos.","My friend and I live far away 
from the school so we always go by taxi.%(syn) [zardda'a, cuway cuchchay 
beettenna]
haaruwa haarettaa%1. noun%"
haaho,adjective,someone's belonging (of cattle)%,,
haaho,adjective,"purchasing, buying
(of domestic animals)%",,
haaho,adjective,breeding (cattle)%,,
haaho,adjective,"enslavement
habadi giis%1. intransitive verb%",,
haaho,adjective,"eat hungrily, eat food quickly and hungrily 
or greedily (informal)%",Booray maatawu habadi giis.,"The ox eats grass 
hungrily.%(syn) [namisettiis, qophphattiis]"
hadiya,noun,"local trousers, shorts (cultural and honorable clothes worn by 
men)%",Gadaaway shankkaa biiddi hadiya gixxees.,"When hunting, the leader of 
the hunt wears traditional trousers.%(syn) [dungguzaa, seeriya]"
hallixxiya,adjective,slippery; muddy; watery%,"Ha hallixxiya ogiyan waatada
kaamiya laagganawu danddayay?","How could you drive a car on this slippery road?
%(syn) [torqqo, sorbbooqo, sadhdhakiina, urqqa]
hananabaa yootiis%1. intransitive verb%"
hallixxiya,adjective,"prophesy, tell what will happen%",Geeshsha maxaafay Yesuusa yeletay hananaagaa yootiis.,"The Holy Bible 
prophesied Jesus' birth.%(syn) [hiraagaa yootiis, hiraagiis]"
hanotaa,noun,situation; condition; manner%,"Tana A oosuwa hanotay lo""ees.",I like the manner of his work.%
hanotaa,noun,attitude,,
haraa,noun,"cow, a cow given to someone to be taken care of%",Miizziya hara.,The cow is the one being taken care of.%
haraa,noun,"milk cow, a cow rented to obtain 
its milk",,
hay,interjection,oh%,,
hay,interjection,ok%,,
hay,interjection,please%,,
hay,interjection,"can't be (when you don't believe bad 
news)",,
xaafuwa,noun,literature%,Wolaytta Hayyo Xaafuwa,"Wolaita literature
%(syn) [bilaa]"
heebboyiya,adjective,indulging; spoiling; pampering; pandering %,heebboyiya aayyiyo,a pampering mother %(syn) [kabboyiya]
heesso,interjection,warning word%,Heesso nena!,"Beware!%(syn) [ye''e, 
ooye, nena era, zeere]
hegaa gishshawu%1. adverb%"
heesso,interjection,"so, therefore, hence, thus, so that%","Taassi guutta 
wode xalaalay attiis, yaatiyo gishshawu ta nena issi oysha malaa zaarada 
maaddanaassi danddayays.","I have got only a little time, so I can only help you
answer one questions.%(syn) [yaaniyo gishshawu, yaatiyo gishshawu]
hem""iya%1. noun%"
heesso,interjection,digging%,"Hem""ee daafurssiya ooso.","Digging is tiresome work.
%"
heesso,interjection,"clod, lump of earth or a large lump of soil",,
hiillanchchaa,noun,"craftsman, skillful person%","Hiillanchchay nuussi lo""o 
oydiya oottiis.","A craftsman made a beautiful chair for us.%(syn) [anaaxiya]
hiraagaa yootiis%1. transitive verb%"
hiillanchchaa,noun,prophesy; predict; foretell%,"Nabee 
hiraagaa yootiis.","The prophet prophesied.%(syn) [hiraagiis, hananabaa yootiis]"
hodde,adverb,so%,"Hodde, taani ay oottanawu danddayiyanaa?","So, what can I
do?%(syn) [simi]"
hollolaawa,adjective,poor; penniless; destitute%,"Hagee ayba holollaawa 
asee! Ba metuwa iddidi salettennaagee!","What a talkative person he is! He is 
talking too much about his poverty!%(syn) [hiyyeesa, manqqo, tuyyeeba, oppoodo, 
putteesa, suqiya kuttiya baynna]"
hoola,interjection,"awesome (admiration, feeling mostly used in reference to
God)%","I dadaa girssaa siyidi, ""hoola"" giis.","He said, ''awesome"" when he heard
the thunder.%(syn) [anggata, ezggo]
hoppihoppiis (happihappiis) %1. intransitive verb%"
hoola,interjection,be fearful%,"Beero 
halaafiyayyo daro hoppihoppiyogee lo''enna.","It is not good to be fearful of a 
boss.%(syn) [dagammiis, horppattiis, yayyiis, babbiis, yuuqiyuuqiis, bobariis, 
dozhggu giis, waabbaqiis, bizhggamiis, yarkkiis, qasiis, batibatiis, 
hodhdhihodhdhiis, qiphiqiphiis, barggaagiis]"
uttiyosaa,noun,airport%,"Taani horoophphillee uttiyosan mule
qulppee shuuyetti uttaagaa xayssaas.","I have lost a bunch of keys at the 
airport.%(syn) [zarqqee uttiyosaa]"
horoophphilliya,noun,plane; airplane%,Asay horoophphilliyan buqettiis.,"People were jolted in the plane.%(syn) [zarqqiya, jettiya]"
